"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.733509000E-3,0.000000000E0,0.000000000E0,0.000000000E0
9.592832000E-3,-2.092629671E-2,-5.962276459E-2,7.650780678E-2
1.445220700E-2,-8.139175177E-2,-3.041362762E-2,1.844174862E-1
1.931142500E-2,-1.678283811E-1,7.363319397E-3,5.428383350E-1
2.417064400E-2,-1.411893368E-1,2.038002014E-3,7.011573315E-1
2.902991500E-2,-1.209834814E-1,-2.408313751E-2,8.929848671E-1
3.388913400E-2,-7.224512100E-2,-6.159400940E-2,1.137891293E0
3.874835200E-2,-4.074692726E-3,-1.233367920E-1,1.351253510E0
4.360762300E-2,1.003820896E-1,-1.978979111E-1,1.484611511E0
4.846684200E-2,1.468443274E-1,-2.771816254E-1,1.430724144E0
5.332611300E-2,1.339836717E-1,-2.579565048E-1,1.341322899E0
5.818533200E-2,1.068656445E-1,-1.898508072E-1,1.303258896E0
6.304455000E-2,3.393995762E-2,-6.251811981E-2,1.206502438E0
6.790382100E-2,-4.789292812E-2,9.448146820E-2,1.110476017E0
7.276304000E-2,-1.594465971E-1,2.289438248E-1,1.067053318E0
7.762225900E-2,-2.036627531E-1,3.630695343E-1,9.937114716E-1
8.248152900E-2,-1.872124672E-1,4.411468506E-1,9.182562828E-1
8.734074800E-2,-1.605424881E-1,4.300994873E-1,8.243918419E-1
9.219996700E-2,-1.371927261E-1,4.201097488E-1,7.216825485E-1
9.705923800E-2,-7.327455282E-2,3.809776306E-1,7.033929825E-1
1.019184570E-1,-2.488428354E-2,3.178224564E-1,8.068590164E-1
1.067777270E-1,-5.246126652E-2,2.902288437E-1,9.270157814E-1
1.116369460E-1,-1.407082081E-1,2.321395874E-1,9.402160645E-1
1.164961650E-1,-3.047375083E-1,1.925306320E-1,8.510761261E-1
1.213554360E-1,-3.302117586E-1,1.797599792E-1,8.514628410E-1
1.262146540E-1,-4.261841774E-1,8.492660522E-2,7.028179169E-1
1.310738730E-1,-4.419853687E-1,-5.695343018E-3,5.937852859E-1
1.359331440E-1,-3.867443204E-1,-8.019542694E-2,5.285916328E-1
1.407923630E-1,-2.529461384E-1,-1.521682739E-1,4.349923134E-1
1.456516340E-1,-1.484971046E-1,-1.907033920E-1,2.800025940E-1
1.505108520E-1,-6.918144226E-2,-1.704444885E-1,1.288251877E-1
1.553700710E-1,-4.606211185E-2,-1.246404648E-1,-5.499649048E-2
1.602293420E-1,2.264875174E-2,-9.729099274E-2,-2.254281044E-1
1.650885610E-1,9.412366152E-2,-8.477783203E-2,-3.864340782E-1
1.699477790E-1,1.568164825E-1,-1.023349762E-1,-5.324106216E-1
1.748070500E-1,1.921525002E-1,-1.254625320E-1,-6.460528374E-1
1.796662690E-1,1.654424071E-1,-1.304454803E-1,-7.172975540E-1
1.845255400E-1,1.193556786E-1,-9.211730957E-2,-6.962518692E-1
1.893847590E-1,-3.030365705E-2,-1.870536804E-2,-6.643633842E-1
1.942439770E-1,-1.954717040E-1,8.656883240E-2,-6.870970726E-1
1.991032480E-1,-3.043909669E-1,1.808967590E-1,-7.279953957E-1
2.039624670E-1,-3.201909661E-1,1.777906418E-1,-5.643100739E-1
2.088217380E-1,-2.673612833E-1,8.369350433E-2,-3.426241875E-1
2.136809570E-1,-3.165213466E-1,-4.149627686E-2,-2.340579033E-1
2.185401750E-1,-3.978222013E-1,-1.486101151E-1,-2.399425507E-1
2.233994460E-1,-3.703597188E-1,-2.154235840E-1,-1.625871658E-1
2.282586650E-1,-3.787500262E-1,-1.354627609E-1,7.151222229E-2
2.331178840E-1,-5.834813714E-1,1.750764847E-1,2.692050934E-1
2.379771540E-1,-6.382194161E-1,-1.020374298E-1,-2.873191833E-1
2.428363730E-1,-5.620524287E-1,-2.476005554E-1,-8.297657967E-1
2.476010090E-1,-4.376093149E-1,-3.821177483E-1,-1.118693352E0
2.523649670E-1,-2.768557072E-1,-5.529346466E-1,-1.173098087E0
2.571289770E-1,-1.271486878E-1,-7.551364899E-1,-9.077539444E-1
2.618929360E-1,4.188090563E-2,-9.297661781E-1,-6.475629807E-1
2.666568940E-1,1.638474464E-1,-1.098591328E0,-4.909396172E-1
2.714209040E-1,2.490333915E-1,-1.264126301E0,-2.973332405E-1
2.761848630E-1,3.408317268E-1,-1.353397369E0,-2.744331360E-1
2.809488210E-1,3.386573792E-1,-1.360620022E0,-3.041243553E-1
2.857128320E-1,3.410330117E-1,-1.322290421E0,-3.222079277E-1
2.904767900E-1,2.848173678E-1,-1.243693829E0,-4.514012337E-1
2.952408000E-1,1.432031691E-1,-1.078386307E0,-6.545791626E-1
3.000047590E-1,-4.000592232E-2,-8.982911110E-1,-7.729144096E-1
