"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.359572900E-2,6.500903200E1,2.550366650E1,1.813636539E1,NaN,NaN,6.550199890E1,3.125912666E1
5.748102080E-1,6.500893381E1,2.550354165E1,1.397770042E1,3.199999928E-1,2.383000031E2,3.790092468E0,3.495974541E0
1.466715885E0,6.500892984E1,2.550351521E1,1.327512928E1,6.200000048E-1,2.383000031E2,4.150781631E0,3.419225931E0
2.466144739E0,6.500893111E1,2.550348449E1,1.273039372E1,1.039999962E0,2.657000122E2,3.790092468E0,3.022915840E0
3.465903488E0,6.500893564E1,2.550345950E1,1.306419637E1,1.230000019E0,2.658999939E2,3.790092468E0,2.605542660E0
4.465909738E0,6.500894439E1,2.550342709E1,1.341276892E1,1.149999976E0,2.732000122E2,3.790092468E0,2.500000000E0
5.466225414E0,6.500894462E1,2.550339995E1,1.374523057E1,1.279999971E0,2.691000061E2,3.790092468E0,2.500000000E0
6.466225206E0,6.500894979E1,2.550337390E1,1.416857169E1,1.299999952E0,2.666000061E2,3.790092468E0,2.500000000E0
7.465703122E0,6.500895253E1,2.550334036E1,1.410100880E1,1.309999943E0,2.727000122E2,3.790092468E0,2.500000000E0
8.466323486E0,6.500895433E1,2.550331031E1,1.414599465E1,1.309999943E0,2.698999939E2,3.790092468E0,2.500000000E0
9.465964163E0,6.500895624E1,2.550328084E1,1.391522356E1,1.330000043E0,2.680000000E2,3.790092468E0,2.500000000E0
1.046603713E1,6.500895684E1,2.550324758E1,1.395996607E1,1.350000024E0,2.682000122E2,3.790092468E0,2.500000000E0
1.146624036E1,6.500895792E1,2.550321588E1,1.394513792E1,1.330000043E0,2.665000000E2,3.790092468E0,2.500000000E0
1.246576390E1,6.500895920E1,2.550318401E1,1.368867153E1,1.340000033E0,2.662999878E2,3.790092468E0,2.500000000E0
1.346651739E1,6.500896176E1,2.550315113E1,1.321351585E1,1.340000033E0,2.668999939E2,3.790092468E0,2.500000000E0
1.446634624E1,6.500896417E1,2.550312108E1,1.291108938E1,1.309999943E0,2.661000061E2,3.790092468E0,2.500000000E0
1.546650458E1,6.500896646E1,2.550309402E1,1.275838183E1,1.299999952E0,2.668999939E2,3.790092468E0,2.500000000E0
1.646577874E1,6.500896860E1,2.550306663E1,1.307784234E1,1.279999971E0,2.697000122E2,3.790092468E0,2.500000000E0
1.746579374E1,6.500897037E1,2.550303903E1,1.321895828E1,1.330000043E0,2.707999878E2,3.790092468E0,2.500000000E0
1.846593807E1,6.500897363E1,2.550301175E1,1.321175823E1,1.330000043E0,2.802000122E2,3.790092468E0,2.500000000E0
1.946572452E1,6.500897481E1,2.550298391E1,1.342672694E1,1.299999952E0,2.667999878E2,3.790092468E0,2.500000000E0
2.046578114E1,6.500897550E1,2.550295511E1,1.362283608E1,1.299999952E0,2.672999878E2,3.790092468E0,2.500000000E0
2.146578348E1,6.500897617E1,2.550292615E1,1.351383050E1,1.340000033E0,2.667000122E2,3.790092468E0,2.500000000E0
2.246597687E1,6.500897610E1,2.550289884E1,1.344663406E1,1.240000010E0,2.682000122E2,3.790092468E0,2.500000000E0
2.346622707E1,6.500897567E1,2.550287058E1,1.361802429E1,1.220000029E0,2.672000122E2,3.790092468E0,2.500000000E0
2.446612332E1,6.500897521E1,2.550284063E1,1.344731269E1,1.289999962E0,2.700000000E2,3.790092468E0,2.500000000E0
2.546638952E1,6.500897491E1,2.550281320E1,1.353374183E1,1.330000043E0,2.697999878E2,3.790092468E0,2.500000000E0
2.646619978E1,6.500897513E1,2.550278619E1,1.351525131E1,1.320000052E0,2.666000061E2,3.790092468E0,2.500000000E0
2.746643051E1,6.500897522E1,2.550275692E1,1.367559412E1,1.289999962E0,2.691000061E2,3.790092468E0,2.500000000E0
2.846590942E1,6.500897585E1,2.550272589E1,1.351226751E1,1.370000005E0,2.713999939E2,3.790092468E0,2.500000000E0
2.946630910E1,6.500897628E1,2.550269811E1,1.327990982E1,1.340000033E0,2.682000122E2,3.790092468E0,2.500000000E0
3.046617494E1,6.500897704E1,2.550267306E1,1.325970989E1,1.340000033E0,2.686000061E2,3.790092468E0,2.500000000E0
3.146575488E1,6.500897772E1,2.550264608E1,1.352350681E1,1.330000043E0,2.681000061E2,3.790092468E0,2.500000000E0
3.246657061E1,6.500897874E1,2.550261881E1,1.347138567E1,1.289999962E0,2.690000000E2,3.790092468E0,2.500000000E0
3.346656389E1,6.500897809E1,2.550259082E1,1.350898688E1,1.299999952E0,2.667000122E2,3.790092468E0,2.500000000E0
3.446661327E1,6.500897785E1,2.550256323E1,1.367396827E1,1.350000024E0,2.692999878E2,3.790092468E0,2.500000000E0
3.546567514E1,6.500897669E1,2.550253621E1,1.363027072E1,1.309999943E0,2.677000122E2,3.790092468E0,2.500000000E0
3.646642999E1,6.500897625E1,2.550250664E1,1.366738377E1,1.279999971E0,2.677999878E2,3.790092468E0,2.500000000E0
3.746603431E1,6.500897547E1,2.550248166E1,1.368942070E1,1.250000000E0,2.662999878E2,3.790092468E0,2.500000000E0
3.846600196E1,6.500897435E1,2.550245523E1,1.365225383E1,1.279999971E0,2.652999878E2,3.790092468E0,2.500000000E0
3.946631535E1,6.500897361E1,2.550242877E1,1.347311905E1,1.279999971E0,2.702000122E2,3.790092468E0,2.500000000E0
4.046657707E1,6.500897308E1,2.550240337E1,1.346238007E1,1.269999981E0,2.682999878E2,3.790092468E0,2.500000000E0
4.146599691E1,6.500897309E1,2.550237766E1,1.322971711E1,1.289999962E0,2.677000122E2,3.790092468E0,2.500000000E0
4.246643248E1,6.500897319E1,2.550234938E1,1.311027463E1,1.309999943E0,2.676000061E2,3.790092468E0,2.500000000E0
4.346637202E1,6.500897286E1,2.550232054E1,1.290916734E1,1.309999943E0,2.697000122E2,3.790092468E0,2.500000000E0
4.446604113E1,6.500897271E1,2.550229246E1,1.263634358E1,1.279999971E0,2.692000122E2,3.790092468E0,2.500000000E0
4.546651748E1,6.500897157E1,2.550226445E1,1.259221890E1,1.289999962E0,2.677999878E2,3.790092468E0,2.500000000E0
4.646594592E1,6.500897028E1,2.550223640E1,1.270025491E1,1.299999952E0,2.673999939E2,3.790092468E0,2.500000000E0
4.746633587E1,6.500896931E1,2.550220900E1,1.243213107E1,1.269999981E0,2.680000000E2,3.790092468E0,2.500000000E0
4.846591264E1,6.500896886E1,2.550218206E1,1.248254947E1,1.309999943E0,2.688999939E2,3.790092468E0,2.500000000E0
4.946632040E1,6.500896874E1,2.550215488E1,1.246540187E1,1.259999990E0,2.698999939E2,3.790092468E0,2.500000000E0
5.046574524E1,6.500896884E1,2.550212946E1,1.225471149E1,1.240000010E0,2.720000000E2,3.790092468E0,2.500000000E0
5.146569727E1,6.500896937E1,2.550210401E1,1.213282713E1,1.250000000E0,2.703999939E2,3.790092468E0,2.500000000E0
5.246614113E1,6.500896913E1,2.550207722E1,1.192256428E1,1.269999981E0,2.687000122E2,3.790092468E0,2.500000000E0
5.346658649E1,6.500896916E1,2.550205218E1,1.167659557E1,1.169999957E0,2.677000122E2,3.790092468E0,2.500000000E0
5.446617566E1,6.500896924E1,2.550202535E1,1.164553184E1,1.230000019E0,2.671000061E2,3.790092468E0,2.500000000E0
5.546566753E1,6.500896971E1,2.550199909E1,1.165206555E1,1.200000048E0,2.692999878E2,3.790092468E0,2.500000000E0
5.646575092E1,6.500897095E1,2.550197176E1,1.132095264E1,1.269999981E0,2.697999878E2,3.790092468E0,2.500000000E0
5.746611722E1,6.500897284E1,2.550194194E1,1.107193209E1,1.320000052E0,2.727000122E2,3.790092468E0,2.500000000E0
5.846590352E1,6.500897434E1,2.550190904E1,1.106766301E1,1.460000038E0,2.712000122E2,3.790092468E0,2.500000000E0
5.946611467E1,6.500897393E1,2.550187200E1,1.126273592E1,1.580000043E0,2.693999939E2,3.790092468E0,2.500000000E0
6.046575690E1,6.500897227E1,2.550183540E1,1.105192542E1,1.549999952E0,2.692000122E2,3.790092468E0,2.500000000E0
6.146589456E1,6.500897117E1,2.550179881E1,1.106413719E1,1.490000010E0,2.682000122E2,3.790092468E0,2.500000000E0
6.246647170E1,6.500897071E1,2.550176472E1,1.083306231E1,1.480000019E0,2.672000122E2,3.790092468E0,2.500000000E0
6.346659164E1,6.500897014E1,2.550172995E1,1.078265160E1,1.529999971E0,2.662999878E2,3.790092468E0,2.500000000E0
6.446613315E1,6.500896878E1,2.550169139E1,1.095263958E1,1.559999943E0,2.672000122E2,3.790092468E0,2.500000000E0
6.546615914E1,6.500896792E1,2.550165427E1,1.100110621E1,1.539999962E0,2.677000122E2,3.790092468E0,2.500000000E0
6.646612669E1,6.500896753E1,2.550161873E1,1.110627414E1,1.519999981E0,2.685000000E2,3.790092468E0,2.500000000E0
6.746637576E1,6.500896675E1,2.550158462E1,1.102998453E1,1.470000029E0,2.677000122E2,3.790092468E0,2.500000000E0
6.846593096E1,6.500896490E1,2.550155133E1,1.082253064E1,1.490000010E0,2.667000122E2,3.790092468E0,2.500000000E0
6.946577029E1,6.500896361E1,2.550152025E1,1.081331849E1,1.460000038E0,2.668999939E2,3.790092468E0,2.500000000E0
7.046629471E1,6.500896244E1,2.550148974E1,1.063979958E1,1.460000038E0,2.687999878E2,3.790092468E0,2.500000000E0
7.146633622E1,6.500896170E1,2.550146218E1,1.034884853E1,1.419999957E0,2.705000000E2,3.790092468E0,2.500000000E0
7.246625555E1,6.500896182E1,2.550143160E1,1.054849812E1,1.460000038E0,2.701000061E2,3.790092468E0,2.500000000E0
7.346611820E1,6.500896119E1,2.550139986E1,1.065275016E1,1.500000000E0,2.691000061E2,3.790092468E0,2.500000000E0
7.446623403E1,6.500896018E1,2.550136868E1,1.078739778E1,1.500000000E0,2.697000122E2,3.790092468E0,2.500000000E0
7.546574185E1,6.500895983E1,2.550133880E1,1.082921054E1,1.509999990E0,2.708999939E2,3.790092468E0,2.500000000E0
7.646631653E1,6.500895988E1,2.550130655E1,1.087285449E1,1.500000000E0,2.720000000E2,3.790092468E0,2.500000000E0
7.746636482E1,6.500895923E1,2.550127465E1,1.096196984E1,1.480000019E0,2.702000122E2,3.790092468E0,2.500000000E0
7.846575028E1,6.500895850E1,2.550124238E1,1.108178595E1,1.509999990E0,2.715000000E2,3.790092468E0,2.500000000E0
7.946583356E1,6.500895857E1,2.550121117E1,1.105884041E1,1.539999962E0,2.720000000E2,3.790092468E0,2.500000000E0
8.046577096E1,6.500895893E1,2.550117947E1,1.098486945E1,1.570000052E0,2.713999939E2,3.790092468E0,2.500000000E0
8.146630773E1,6.500895895E1,2.550114607E1,1.107758581E1,1.590000033E0,2.702999878E2,3.790092468E0,2.500000000E0
8.246627393E1,6.500895906E1,2.550111159E1,1.127497757E1,1.620000005E0,2.723999939E2,3.790092468E0,2.500000000E0
8.346652096E1,6.500896034E1,2.550107811E1,1.118428286E1,1.629999995E0,2.735000000E2,3.790092468E0,2.500000000E0
8.446606903E1,6.500896106E1,2.550104255E1,1.135109591E1,1.620000005E0,2.712999878E2,3.790092468E0,2.500000000E0
8.546582679E1,6.500896059E1,2.550100775E1,1.142922522E1,1.570000052E0,2.687999878E2,3.790092468E0,2.500000000E0
8.646571507E1,6.500895947E1,2.550097503E1,1.152560401E1,1.519999981E0,2.670000000E2,3.790092468E0,2.500000000E0
8.746599268E1,6.500895859E1,2.550094151E1,1.151364542E1,1.529999971E0,2.650000000E2,3.790092468E0,2.500000000E0
8.846613637E1,6.500895626E1,2.550090787E1,1.164817173E1,1.509999990E0,2.612000122E2,3.790092468E0,2.500000000E0
8.946631955E1,6.500895336E1,2.550087535E1,1.181053013E1,1.529999971E0,2.577000122E2,3.790092468E0,2.500000000E0
9.046660314E1,6.500894966E1,2.550084337E1,1.197667294E1,1.500000000E0,2.531999969E2,3.790092468E0,2.500000000E0
9.146616137E1,6.500894426E1,2.550081276E1,1.243297732E1,1.559999943E0,2.468000031E2,3.790092468E0,2.500000000E0
9.246559278E1,6.500893676E1,2.550078431E1,1.248583979E1,1.570000052E0,2.413000031E2,3.790092468E0,2.500000000E0
9.346611569E1,6.500892837E1,2.550075596E1,1.284058246E1,1.620000005E0,2.380000000E2,3.790092468E0,2.500000000E0
9.446618549E1,6.500891907E1,2.550073112E1,1.291529573E1,1.600000024E0,2.341000061E2,3.790092468E0,2.500000000E0
9.546598923E1,6.500890898E1,2.550070955E1,1.296724278E1,1.570000052E0,2.296000061E2,3.790092468E0,2.500000000E0
9.646562382E1,6.500889836E1,2.550069081E1,1.299080833E1,1.529999971E0,2.218000031E2,3.790092468E0,2.500000000E0
9.746615262E1,6.500888746E1,2.550067557E1,1.325662211E1,1.490000010E0,2.166999969E2,3.790092468E0,2.500000000E0
9.846606184E1,6.500887619E1,2.550066150E1,1.334403011E1,1.490000010E0,2.168000031E2,3.790092468E0,2.500000000E0
9.946654684E1,6.500886535E1,2.550064828E1,1.347275866E1,1.480000019E0,2.156999969E2,3.790092468E0,2.500000000E0
1.004658668E2,6.500885429E1,2.550063625E1,1.351103304E1,1.450000048E0,2.138999939E2,3.790092468E0,2.500000000E0
1.014662517E2,6.500884256E1,2.550062209E1,1.326140508E1,1.399999976E0,2.133999939E2,3.790092468E0,2.500000000E0
1.024663190E2,6.500883139E1,2.550060612E1,1.318865703E1,1.440000057E0,2.133999939E2,3.790092468E0,2.500000000E0
1.034665324E2,6.500882053E1,2.550059090E1,1.344983211E1,1.450000048E0,2.118999939E2,3.790092468E0,2.500000000E0
1.044662764E2,6.500880919E1,2.550057795E1,1.331647584E1,1.440000057E0,2.121999969E2,3.790092468E0,2.500000000E0
1.054664305E2,6.500879706E1,2.550056650E1,1.328236284E1,1.450000048E0,2.101999969E2,3.790092468E0,2.500000000E0
1.064656726E2,6.500878537E1,2.550055286E1,1.343758100E1,1.419999957E0,2.101999969E2,3.790092468E0,2.500000000E0
1.074665590E2,6.500877393E1,2.550053797E1,1.355495742E1,1.409999967E0,2.141000061E2,3.790092468E0,2.500000000E0
1.084659408E2,6.500876374E1,2.550052269E1,1.375973580E1,1.379999995E0,2.146999969E2,3.790092468E0,2.500000000E0
1.094664010E2,6.500875352E1,2.550050903E1,1.370627424E1,1.409999967E0,2.118999939E2,3.790092468E0,2.500000000E0
1.104656802E2,6.500874433E1,2.550049337E1,1.373759039E1,1.389999986E0,2.116999969E2,3.790092468E0,2.500000000E0
1.114658016E2,6.500873455E1,2.550047718E1,1.386473201E1,1.389999986E0,2.116999969E2,3.790092468E0,2.500000000E0
1.124665285E2,6.500872431E1,2.550046141E1,1.383501338E1,1.429999948E0,2.118000031E2,3.790092468E0,2.500000000E0
1.134658873E2,6.500871372E1,2.550044633E1,1.381799012E1,1.370000005E0,2.118999939E2,3.790092468E0,2.500000000E0
1.144665270E2,6.500870306E1,2.550043005E1,1.376227073E1,1.379999995E0,2.116999969E2,3.790092468E0,2.500000000E0
1.154660139E2,6.500869168E1,2.550041414E1,1.374396610E1,1.389999986E0,2.130000000E2,3.790092468E0,2.500000000E0
1.164661962E2,6.500868074E1,2.550039953E1,1.397016800E1,1.370000005E0,2.128999939E2,3.790092468E0,2.500000000E0
1.174663065E2,6.500866946E1,2.550038387E1,1.390413381E1,1.500000000E0,2.103999939E2,3.790092468E0,2.500000000E0
1.184657792E2,6.500865083E1,2.550036109E1,1.391287115E1,2.460000038E0,2.080000000E2,3.790092468E0,2.500000000E0
1.194657614E2,6.500863647E1,2.550034373E1,1.347830798E1,1.529999971E0,2.088999939E2,3.790092468E0,2.500000000E0
1.204657228E2,6.500862391E1,2.550032112E1,1.313352752E1,1.629999995E0,2.181000061E2,3.790092468E0,2.500000000E0
1.214662661E2,6.500860893E1,2.550029761E1,1.240202927E1,1.870000005E0,2.130000000E2,3.790092468E0,2.500000000E0
1.224661524E2,6.500858922E1,2.550026822E1,1.401037715E1,2.549999952E0,2.115000000E2,3.790092468E0,2.500000000E0
1.234666308E2,6.500855755E1,2.550022135E1,1.320088467E1,3.779999971E0,2.113999939E2,3.790092468E0,2.500000000E0
1.244663153E2,6.500852433E1,2.550017020E1,1.349344402E1,3.759999990E0,2.123000031E2,3.790092468E0,2.500000000E0
1.254658228E2,6.500849130E1,2.550012033E1,1.328051000E1,3.829999924E0,2.118999939E2,3.790092468E0,2.500000000E0
1.264663140E2,6.500845801E1,2.550007412E1,1.327082271E1,3.720000029E0,2.106000061E2,3.790092468E0,2.500000000E0
1.274658633E2,6.500842597E1,2.550002972E1,1.307717479E1,3.650000095E0,2.096999969E2,3.790092468E0,2.500000000E0
1.284665159E2,6.500839449E1,2.549998630E1,1.291166122E1,3.630000114E0,2.101999969E2,3.790092468E0,2.500000000E0
1.294659616E2,6.500836232E1,2.549993987E1,1.284977984E1,3.730000019E0,2.118999939E2,3.790092468E0,2.500000000E0
1.304660200E2,6.500832979E1,2.549989392E1,1.275963935E1,3.769999981E0,2.116000061E2,3.790092468E0,2.500000000E0
1.314657800E2,6.500829733E1,2.549984792E1,1.258594171E1,3.809999943E0,2.111999969E2,3.790092468E0,2.500000000E0
1.324658545E2,6.500826505E1,2.549980100E1,1.221381864E1,3.809999943E0,2.118000031E2,3.790092468E0,2.500000000E0
1.334663842E2,6.500823404E1,2.549975760E1,1.190230328E1,3.680000067E0,2.110000000E2,3.790092468E0,2.500000000E0
1.344662856E2,6.500820357E1,2.549971549E1,1.162667649E1,3.690000057E0,2.108999939E2,3.790092468E0,2.500000000E0
1.354660558E2,6.500817373E1,2.549967167E1,1.130069535E1,3.619999886E0,2.108999939E2,3.790092468E0,2.500000000E0
1.364660710E2,6.500814500E1,2.549963111E1,1.145628143E1,3.579999924E0,2.116000061E2,3.790092468E0,2.500000000E0
1.374666020E2,6.500811689E1,2.549958956E1,1.133867386E1,3.579999924E0,2.121000061E2,3.790092468E0,2.500000000E0
1.384664773E2,6.500808964E1,2.549954958E1,1.119543133E1,3.490000010E0,2.118999939E2,3.790092468E0,2.500000000E0
1.394665585E2,6.500806238E1,2.549951086E1,1.114038469E1,3.460000038E0,2.115000000E2,3.790092468E0,2.500000000E0
1.404658799E2,6.500803504E1,2.549947153E1,1.091889517E1,3.420000076E0,2.120000000E2,3.790092468E0,2.500000000E0
1.414665946E2,6.500800814E1,2.549943218E1,1.132014719E1,3.329999924E0,2.111000061E2,3.790092468E0,2.500000000E0
1.424655681E2,6.500798204E1,2.549939373E1,1.120601814E1,3.240000010E0,2.118000031E2,3.790092468E0,2.500000000E0
1.434659287E2,6.500795598E1,2.549935482E1,1.141043151E1,3.269999981E0,2.110000000E2,3.790092468E0,2.500000000E0
1.444666092E2,6.500793029E1,2.549931660E1,1.149228622E1,3.279999971E0,2.111000061E2,3.790092468E0,2.500000000E0
1.454665978E2,6.500790493E1,2.549927906E1,1.128855735E1,3.259999990E0,2.113000031E2,3.790092468E0,2.500000000E0
1.464662113E2,6.500788013E1,2.549924273E1,1.110484790E1,3.210000038E0,2.116000061E2,3.790092468E0,2.500000000E0
1.474665677E2,6.500785551E1,2.549920849E1,1.130828453E1,3.240000010E0,2.098999939E2,3.790092468E0,2.500000000E0
1.484663150E2,6.500783003E1,2.549917394E1,1.116302759E1,3.309999943E0,2.108000031E2,3.790092468E0,2.500000000E0
1.494659835E2,6.500780573E1,2.549913576E1,1.113709372E1,3.259999990E0,2.136999969E2,3.790092468E0,2.500000000E0
1.504664386E2,6.500778533E1,2.549909134E1,1.118879477E1,2.980000019E0,2.231999969E2,3.790092468E0,2.500000000E0
1.514666094E2,6.500777210E1,2.549903186E1,1.116737217E1,3.079999924E0,2.433000031E2,3.790092468E0,2.500000000E0
1.524657895E2,6.500777122E1,2.549896085E1,1.144996052E1,3.240000010E0,2.691000061E2,3.790092468E0,2.500000000E0
1.534664585E2,6.500778270E1,2.549888844E1,1.154437301E1,3.380000114E0,2.875000000E2,3.790092468E0,2.500000000E0
1.544665137E2,6.500779997E1,2.549882027E1,1.150920609E1,3.480000019E0,2.967000122E2,3.790092468E0,2.500000000E0
1.554659301E2,6.500781827E1,2.549875621E1,1.162650489E1,3.349999905E0,3.005000000E2,3.790092468E0,2.500000000E0
